AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"18,970",3.4,,,,,24.13,"50,190",0.7,17.40,19.80,23.38,27.93,31.47,"36,200","41,180","48,620","58,100","65,450",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"13,810",4.8,,,,,25.45,"52,940",1.1,17.70,20.02,23.22,29.46,36.06,"36,810","41,650","48,310","61,290","75,000",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4040,Machinists,broad,"298,790",1.0,,,,,27.59,"57,390",0.3,18.32,22.23,27.00,31.21,37.86,"38,100","46,250","56,150","64,910","78,760",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4041,Machinists,detailed,"298,790",1.0,,,,,27.59,"57,390",0.3,18.32,22.23,27.00,31.21,37.86,"38,100","46,250","56,150","64,910","78,760",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,"26,160",2.4,,,,,26.91,"55,960",0.5,18.44,21.80,26.01,30.66,37.15,"38,350","45,340","54,100","63,780","77,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4051,Metal-Refining Furnace Operators and Tenders,detailed,"20,330",2.4,,,,,27.55,"57,290",0.6,18.63,22.38,26.81,31.29,38.59,"38,760","46,550","55,770","65,070","80,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4052,"Pourers and Casters, Metal",detailed,"5,830",4.6,,,,,24.68,"51,320",0.7,17.91,19.91,23.53,28.78,32.71,"37,250","41,410","48,940","59,850","68,030",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4060,"Model Makers and Patternmakers, Metal and Plastic",broad,"4,800",6.0,,,,,30.41,"63,250",1.1,18.62,22.85,28.62,35.94,45.47,"38,740","47,520","59,530","74,760","94,570",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4061,"Model Makers, Metal and Plastic",detailed,"3,230",7.8,,,,,31.65,"65,840",1.5,18.47,23.49,30.14,38.21,46.05,"38,430","48,860","62,700","79,470","95,780",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4062,"Patternmakers, Metal and Plastic",detailed,"1,570",8.8,,,,,27.85,"57,930",2.0,18.82,22.85,26.22,32.02,38.31,"39,150","47,520","54,540","66,590","79,690",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"167,540",1.4,,,,,21.32,"44,340",0.4,15.47,17.52,20.14,23.71,28.95,"32,180","36,450","41,890","49,310","60,210",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4071,Foundry Mold and Coremakers,detailed,"12,720",3.8,,,,,22.55,"46,910",0.6,17.41,18.93,21.97,24.69,29.52,"36,220","39,370","45,700","51,360","61,390",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"154,820",1.5,,,,,21.22,"44,130",0.4,15.38,17.45,19.82,23.61,28.90,"31,990","36,290","41,230","49,100","60,110",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",broad,"129,850",1.9,,,,,23.36,"48,590",0.5,16.41,18.42,22.14,27.03,35.02,"34,130","38,320","46,060","56,220","72,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"129,850",1.9,,,,,23.36,"48,590",0.5,16.41,18.42,22.14,27.03,35.02,"34,130","38,320","46,060","56,220","72,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4110,Tool and Die Makers,broad,"55,130",1.4,,,,,31.30,"65,100",0.4,21.25,24.61,30.38,37.23,42.15,"44,200","51,200","63,180","77,430","87,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4111,Tool and Die Makers,detailed,"55,130",1.4,,,,,31.30,"65,100",0.4,21.25,24.61,30.38,37.23,42.15,"44,200","51,200","63,180","77,430","87,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4120,"Welding, Soldering, and Brazing Workers",broad,"460,340",0.7,,,,,26.27,"54,640",0.3,18.18,21.68,24.31,29.52,36.18,"37,820","45,090","50,560","61,390","75,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,"424,040",0.7,,,,,26.49,"55,100",0.3,18.33,21.91,24.52,29.62,36.47,"38,130","45,580","51,000","61,610","75,850",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,"36,290",2.6,,,,,23.69,"49,270",0.5,17.20,18.98,22.62,26.86,31.82,"35,780","39,480","47,060","55,870","66,190",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4190,Miscellaneous Metal Workers and Plastic Workers,broad,"77,710",1.8,,,,,22.84,"47,500",0.5,16.26,18.01,21.66,25.70,31.12,"33,810","37,470","45,050","53,460","64,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,"14,590",3.1,,,,,23.57,"49,030",0.7,16.95,19.18,22.81,27.08,30.91,"35,260","39,900","47,450","56,330","64,290",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4192,"Layout Workers, Metal and Plastic",detailed,"5,610",4.9,,,,,31.62,"65,770",1.9,19.44,24.91,29.74,37.01,44.82,"40,430","51,810","61,870","76,980","93,230",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"31,510",2.7,,,,,21.07,"43,820",0.7,15.36,17.61,20.00,23.55,28.04,"31,940","36,620","41,600","48,990","58,320",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,"5,730",4.8,,,,,24.90,"51,790",1.1,16.24,19.00,23.54,28.95,35.64,"33,770","39,520","48,970","60,210","74,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,"20,270",4.6,,,,,22.05,"45,850",1.1,16.27,17.74,20.56,24.01,30.19,"33,850","36,890","42,750","49,930","62,800",,
